38.000000 0.026316 73.972968 308.220700 6.392778 38.000000 163208757248.000000 199.421246 144628.000000 1120.000000 109744.000000 195249442.262459 1350851717672992000.000000 0.000000
39.000000 0.025641 74.939976 312.249900 6.478030 39.000000 167503724544.000000 206.130687 152334.000000 1197.000000 118638.000000 256694405.939270 4052555153018976256.000000 0.000000
40.000000 0.025000 75.894664 316.227766 6.562217 40.000000 171798691840.000000 212.877124 160240.000000 1276.000000 128000.000000 335774783.338666 12157665459056928768.000000 0.000000
41.000000 0.024390 76.837491 320.156212 6.645379 41.000000 176093659136.000000 219.659632 168346.000000 1357.000000 137842.000000 437092530.213586 36472996377170788352.000000 0.000000
42.000000 0.023810 77.768888 324.037035 6.727553 42.000000 180388626432.000000 226.477332 176652.000000 1440.000000 148176.000000 566337644.444530 109418989131512365056.000000 0.000000
43.000000 0.023256 78.689262 327.871926 6.808774 43.000000 184683593728.000000 233.329384 185158.000000 1525.000000 159014.000000 730520333.030495 328256967394537046016.000000 0.000000
44.000000 0.022727 79.598995 331.662479 6.889074 44.000000 188978561024.000000 240.214991 193864.000000 1612.000000 170368.000000 938247694.115958 984770902183611203584.000000 0.000000
45.000000 0.022222 80.498447 335.410197 6.968485 45.000000 193273528320.000000 247.133389 202770.000000 1701.000000 182250.000000 1200052546.014570 2954312706550833610752.000000 0.000000
46.000000 0.021739 81.387960 339.116499 7.047036 46.000000 197568495616.000000 254.083850 211876.000000 1792.000000 194672.000000 1528783198.797139 8862938119652501356544.000000 0.000000
47.000000 0.021277 82.267855 342.782730 7.124755 47.000000 201863462912.000000 261.065676 221182.000000 1885.000000 207646.000000 1940064284.420898 26588814358957501972480.000000 0.000000
48.000000 0.020833 83.138439 346.410162 7.201667 48.000000 206158430208.000000 268.078200 230688.000000 1980.000000 221184.000000 2452840257.137437 79766443076872514306048.000000 0.000000
49.000000 0.020408 84.000000 350.000000 7.277798 49.000000 210453397504.000000 275.120782 240394.000000 2077.000000 235298.000000 3090014867.487506 239299329230617526140928.000000 0.000000
50.000000 0.020000 84.852814 353.553391 7.353172 50.000000 214748364800.000000 282.192809 250300.000000 2176.000000 250000.000000 3879201823.113272 717897987691852578422784.000000 0.000000
51.000000 0.019608 85.697141 357.071421 7.427810 51.000000 219043332096.000000 289.293692 260406.000000 2277.000000 265302.000000 4853604002.698648 2153693963075557735268352.000000 0.000000
52.000000 0.019231 86.533231 360.555128 7.501735 52.000000 223338299392.000000 296.422865 270712.000000 2380.000000 281216.000000 6053041012.852460 6461081889226672937369600.000000 0.000000
53.000000 0.018868 87.361319 364.005494 7.574966 53.000000 227633266688.000000 303.579784 281218.000000 2485.000000 297754.000000 7525147601.618924 19383245667680019885850624.000000 0.000000
54.000000 0.018519 88.181631 367.423461 7.647523 54.000000 231928233984.000000 310.763925 291924.000000 2592.000000 314928.000000 9326768499.374613 58149737003040063952519168.000000 0.000000
55.000000 0.018182 88.994382 370.809924 7.719425 55.000000 236223201280.000000 317.974784 302830.000000 2701.000000 332750.000000 11525578684.136219 174449211009120166087753728.000000 0.000000
56.000000 0.017857 89.799777 374.165739 7.790689 56.000000 240518168576.000000 325.211876 313936.000000 2812.000000 351232.000000 14201961903.148504 523347633027360566982737920.000000 0.000000
57.000000 0.017544 90.598013 377.491722 7.861333 57.000000 244813135872.000000 332.474731 325242.000000 2925.000000 370386.000000 17451184569.123379 1570042899082081632228737024.000000 0.000000
58.000000 0.017241 91.389277 380.788655 7.931371 58.000000 249108103168.000000 339.762898 336748.000000 3040.000000 390224.000000 21385906934.717026 4710128697246244896686211072.000000 0.000000
59.000000 0.016949 92.173749 384.057287 8.000820 59.000000 253403070464.000000 347.075940 348454.000000 3157.000000 410758.000000 26139078784.135380 14130386091738735239814447104.000000 0.000000
60.000000 0.016667 92.951600 387.298335 8.069695 60.000000 257698037760.000000 354.413436 360360.000000 3276.000000 432000.000000 31867272822.158600 42391158275216203520420085760.000000 0.000000
61.000000 0.016393 93.722996 390.512484 8.138010 61.000000 261993005056.000000 361.774978 372466.000000 3397.000000 453962.000000 38754515549.413361 127173474825648601765167235072.000000 0.000000
62.000000 0.016129 94.488094 393.700394 8.205778 62.000000 266287972352.000000 369.160171 384772.000000 3520.000000 476656.000000 47016682754.831543 381520424476945858072059838464.000000 0.000000
